StudentId,STATEATTEND1,STATEATTEND2,STATE
173a2571-df46-46b1-9c53-9a4afd14804e,,,
4ac2da8e-a77e-46d7-be12-277adfe4907a,ACTSTATEATTEND1TX,ACTSTATEATTEND2TN,
230430f1-d25d-4876-bdad-ef6abba10e78,,,"DECSTATECA,DECSTATENC,DECSTATEPA"
35da463c-7059-475e-b2fe-94e826756135,,,"DECSTATEMN,DECSTATETN"
39ab92d7-1bcc-4708-848e-579595eb94b6,,,
7238272f-96f5-4f17-a420-8af42799d23a,,,"DECSTATECA,DECSTATEMA,DECSTATENY"
b17434c1-9011-450b-9b74-5e3630124a6d,,,
646d21b0-5ddf-4f56-b832-d8058e69f919,ACTSTATEATTEND1OTHER,ACTSTATEATTEND2OTHER,
5b3f5188-7395-4f04-8e45-fb59c66a1b00,,,"DECSTATECA,DECSTATEGA,DECSTATEMA"
d820ec64-54bb-4bab-8fd4-15d7007ca3d0,,,
11fb619a-3bb7-4e04-bc3f-a332429c462c,ACTSTATEATTEND1NJ,ACTSTATEATTEND2NY,
2e055b4e-e972-476d-8d9e-803e80e02000,,,"DECSTATEFL,DECSTATEMI,DECSTATETX"
3f77d208-5526-4022-8657-5d8cbc505a7b,ACTSTATEATTEND1AL,,
d3bd1b6c-475f-4cb7-aac7-22aa3a3dca5b,,,
571e6ed9-ee29-4197-a1eb-f39acb66aaea,ACTSTATEATTEND1LA,,
fabcd406-7797-4449-99e9-fd9771dfa5fb,ACTSTATEATTEND1NC,ACTSTATEATTEND2SC,
891b06ea-9368-4e50-81d0-360b69bcb05d,,,
31087ecb-6dab-438a-91a0-cc514fddb1f3,,,DECSTATETX
38461c8f-4a46-4127-99a6-0148cd9036aa,,,
6f7dcd44-40f6-46fa-9d13-1bfe4f61ee18,,,
703699e8-f993-4f49-9b52-afdabe1dcd55,,,
9468ee9b-3997-4451-abc1-3443497f0daa,,,
699934ef-2b9a-4576-b6b0-832135d20063,,,"DECSTATECA,DECSTATEMI"
bf27b7b4-3b8e-4b77-9d60-9a99db43d8fc,ACTSTATEATTEND1IN,,"DECSTATEFL,DECSTATEHI,DECSTATEIN"
b1b21e8d-be4e-4271-b73d-58ea72c6d808,,,"DECSTATEFL,DECSTATENY"
f53bb4b3-c408-407d-960c-ea54bfdc0bd3,,,DECSTATEFL
cf7e69a0-56ad-4f93-83fc-c736f169a3de,,,
77cf8783-f67f-44fe-8747-6d6abf855705,,,"DECSTATEAZ,DECSTATECA"
46cddfba-00be-47c3-b78f-d274b091b36b,,,"DECSTATEIN,DECSTATEKY,DECSTATESC"
0de62f9d-15e5-4666-8010-0b535fba2344,,,"DECSTATEAZ,DECSTATEFL,DECSTATENM"
c7272186-138d-4a95-adee-4b9bb623db98,,,
0f29b038-30b9-4a5a-8680-3e81f83b4295,,,
c90ffe5b-3ac4-4d62-adba-5d979902ecf0,,,
dc33c2d2-c7ed-4115-909e-6f777fc7c117,,,
6a95d923-dce2-4efa-aac2-faa20e71df84,,,"DECSTATEAR,DECSTATEOR"
2e404089-7dc9-4ce8-a3fc-750b8e90bd96,,,"DECSTATECA,DECSTATEOR,DECSTATESC"
8b7c0e38-94f7-4eb6-a270-25311add5a77,ACTSTATEATTEND1FL,ACTSTATEATTEND2GA,"DECSTATECO,DECSTATEFL,DECSTATEGA"
